Genetic Tic Tac Toe Experiment
Experiment Time: 27/06/2016 14:05:09
Experiment Parameters:,
Board Size:,10,
Required Streak:,5,
Population Size:,100,
Max Generations:,50,
Select Maximal Index Method:,Random,
Initial Individual Tree Depth:,3,
Maximum Individual Tree Depth:,7,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
,
Function Set:,
If >=,Plus,
Terminal Set:,
RowStreak,ColumnStreak,DiagMainStreak,DiagSecStreak,WinOrBlock,
,
Generation,Worst Individual Name,Worst Individual Fitness,Best Individual Name,Best Individual Fitness,Average Fitness,Best Individual Tree,
1,Drakurakes,0.0,Merarktron,2.7,0.36999999999999994,([F: If >=](F: If >=(T: RowStreak e)(T: ColumnStreak e)(T: ColumnStreak e)(T: RowStreak e))(F: Plus(T: ColumnStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak f)(T: DiagMainStreak f))(F: Plus(T: RowStreak e)(T: DiagSecStreak f))),
2,Morarakde,0.0,Marzrktro,2.0,0.27899999999999997,([F: Plus](F: If >=(T: WinOrBlock e)(T: DiagMainStreak e)(T: WinOrBlock f)(T: DiagSecStreak f))(F: If >=(T: ColumnStreak f)(T: DiagSecStreak e)(T: WinOrBlock e)(T: DiagMainStreak f))),
3,Morreredur,0.0,Morrrccre,2.7,0.39099999999999974,([F: If >=](F: Plus(T: RowStreak f)(T: ColumnStreak f))(F: If >=(T: RowStreak e)(T: RowStreak f)(T: ColumnStreak e)(T: RowStreak e))(F: If >=(T: DiagSecStreak f)(T: RowStreak e)(T: WinOrBlock f)(T: RowStreak f))(T: RowStreak f)),
4,Reiaakirm,0.0,Jarzzizau,2.7,0.5090000000000002,([F: Plus](F: Plus(T: WinOrBlock e)(T: ColumnStreak f))(F: If >=(T: WinOrBlock e)(F: Plus(T: RowStreak e)(T: RowStreak f))(T: DiagSecStreak f)(F: Plus(T: RowStreak e)(T: DiagSecStreak f)))),
5,Raclrrccr,0.0,Marzrakd,3.0,0.5640000000000003,([F: Plus](T: RowStreak f)(F: If >=(T: ColumnStreak f)(T: DiagSecStreak e)(T: WinOrBlock e)(T: DiagMainStreak f))),
6,Jarzarass,0.0,Madszozra,3.0,0.5920000000000004,([F: Plus](F: If >=(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: RowStreak f))(T: RowStreak e)(T: DiagSecStreak f)(T: DiagSecStreak e))(F: Plus(T: WinOrBlock e)(T: ColumnStreak f))(F: If >=(T: WinOrBlock e)(T: WinOrBlock e)(T: RowStreak f)(T: ColumnStreak e)))(F: Plus(T: WinOrBlock f)(T: RowStreak e))),
7,Morrzazr,0.0,Madszozra,2.0,0.4649999999999999,([F: Plus](F: If >=(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: RowStreak f))(T: RowStreak e)(T: DiagSecStreak f)(T: DiagSecStreak e))(F: Plus(T: WinOrBlock e)(T: ColumnStreak f))(F: If >=(T: WinOrBlock e)(T: WinOrBlock e)(T: RowStreak f)(T: ColumnStreak e)))(F: Plus(T: WinOrBlock f)(T: RowStreak e))),
8,Madszzloc,0.0,Madszziza,3.0,0.6400000000000006,([F: Plus](F: If >=(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: RowStreak f))(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(T: DiagSecStreak f)(T: DiagSecStreak e))(F: Plus(T: WinOrBlock e)(T: ColumnStreak f))(F: If >=(T: WinOrBlock e)(T: WinOrBlock e)(T: RowStreak f)(T: ColumnStreak e)))(F: Plus(T: WinOrBlock f)(T: RowStreak e))),
9,Madszssrr,0.0,Marzzssrr,2.7,0.6690000000000004,([F: Plus](T: RowStreak f)(F: If >=(T: DiagSecStreak f)(T: ColumnStreak e)(T: WinOrBlock e)(T: ColumnStreak e))),
10,Marzsszzi,0.0,Madszzssr,2.3,0.5950000000000003,([F: Plus](F: If >=(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: If >=(T: DiagMainStreak e)(T: RowStreak e)(T: DiagSecStreak f)(T: DiagSecStreak e))(F: Plus(T: WinOrBlock e)(T: ColumnStreak f))(F: If >=(T: WinOrBlock e)(T: WinOrBlock e)(T: RowStreak f)(T: ColumnStreak e)))(F: Plus(T: WinOrBlock f)(T: DiagSecStreak f))),
