Genetic Tic Tac Toe Experiment
Experiment Time: 23/06/2016 11:35:26
Expirement Parameters:,
Board Size:,10,
Required Streak:,5,
Population Size:,100,
Max Generations:,50,
Select Maximal Index Method:,Random,
Initial Individual Tree Depth:,4,
Maximum Individual Tree Depth:,8,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
,
Function Set:,
If >=,If <=,Plus,Minus,Multi,
Terminal Set:,
CountNeightbors,RowStreak,ColumnStreak,DiagMainStreak,DiagSecStreak,WinOrBlock,
,
Generation,Worst Individual Name,Worst Individual Fitness,Best Individual Name,Best Individual Fitness,Average Fitness,Best Individual Tree,
12,Mjolzzczzc,0.0,Mjolzclzzc,5.3,0.8329999999999993,([F: Plus](F: Minus(F: Minus(T: ColumnStreak e)(F: Minus(T: CountNeightbors f)(T: ColumnStreak f)))(F: Minus(F: Plus(T: WinOrBlock f)(T: CountNeightbors e))(F: Plus(T: DiagMainStreak f)(T: WinOrBlock e))))(T: RowStreak f)),
13,Mjolzczizz,0.0,Mjolzzllzz,4.0,0.8419999999999989,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f)))(F: If <=(F: Minus(T: ColumnStreak f)(T: RowStreak e))(T: DiagSecStreak f)(T: WinOrBlock e)(T: RowStreak e)))(F: Multi(F: Minus(T: RowStreak f)(T: ColumnStreak f))(F: If <=(T: CountNeightbors e)(T: ColumnStreak f)(F: Plus(T: ColumnStreak f)(F: Plus(F: If <=(T: CountNeightbors e)(T: RowStreak e)(T: RowStreak f)(T: RowStreak e))(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))))(T: DiagMainStreak f)))),
14,Mjolzzzzzz,0.0,Mjolzzzzcz,3.3,0.9469999999999995,([F: Plus](F: Minus(F: If <=(F: Minus(T: ColumnStreak f)(T: ColumnStreak f))(T: DiagSecStreak f)(T: WinOrBlock e)(T: RowStreak e))(F: Minus(F: Plus(T: WinOrBlock f)(T: CountNeightbors e))(F: Plus(T: DiagMainStreak f)(T: WinOrBlock e))))(T: RowStreak f)),
15,Mjolzzcczz,0.0,Mjolzzzzzl,3.0,0.7109999999999995,([F: Plus](F: Minus(F: If <=(F: Minus(T: ColumnStreak f)(T: ColumnStreak f))(T: DiagSecStreak f)(T: WinOrBlock e)(T: RowStreak e))(F: Minus(F: Plus(T: WinOrBlock f)(T: CountNeightbors e))(T: ColumnStreak f)))(T: RowStreak f)),
16,Mjolzlczcl,0.0,Reiclzzzzc,4.6,1.125999999999999,([F: Plus](F: If >=(F: Minus(T: RowStreak f)(T: CountNeightbors e))(F: Minus(T: RowStreak f)(T: DiagMainStreak f))(F: Plus(T: ColumnStreak f)(F: Plus(F: If <=(T: CountNeightbors e)(T: RowStreak e)(T: RowStreak f)(T: RowStreak e))(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))))(F: Multi(F: If <=(F: Multi(F: Minus(T: RowStreak f)(T: ColumnStreak e))(F: If <=(T: CountNeightbors e)(T: DiagMainStreak e)(T: DiagSecStreak f)(T: DiagMainStreak f)))(T: DiagSecStreak f)(T: RowStreak f)(T: CountNeightbors e))(T: RowStreak e)))(F: Plus(T: DiagMainStreak e)(F: Plus(T: WinOrBlock e)(T: RowStreak f)))),
17,Mjolzzlczc,0.0,Mjolzzzllz,4.3,0.9289999999999985,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(T: CountNeightbors e)(T: RowStreak e)(T: DiagMainStreak e)(T: RowStreak e))))(F: If <=(F: Minus(T: ColumnStreak f)(T: ColumnStreak f))(T: DiagSecStreak f)(T: WinOrBlock e)(T: DiagSecStreak f)))(F: Multi(F: Minus(T: DiagSecStreak f)(T: ColumnStreak f))(F: If <=(T: WinOrBlock f)(T: ColumnStreak f)(F: Plus(T: ColumnStreak f)(T: CountNeightbors f))(T: DiagMainStreak f)))),
18,Mjolzzzzzz,0.0,Mjolzzzzzz,3.7,1.019999999999999,([F: Plus](F: Minus(F: Minus(T: ColumnStreak e)(F: Minus(T: CountNeightbors f)(T: ColumnStreak f)))(F: Minus(F: Plus(T: WinOrBlock f)(T: CountNeightbors e))(F: Plus(T: DiagMainStreak f)(T: WinOrBlock e))))(F: Plus(F: If <=(T: CountNeightbors e)(F: Plus(F: If <=(T: CountNeightbors e)(T: RowStreak e)(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))(T: RowStreak e))(F: Plus(T: WinOrBlock e)(T: ColumnStreak f)))(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))(T: RowStreak e))(F: Plus(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))(T: RowStreak f)))),
19,Reiclzzzzz,0.0,Mjolzzzzzz,4.3,0.9429999999999992,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(T: CountNeightbors e)(T: RowStreak e)(T: DiagMainStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(T: CountNeightbors e)(T: RowStreak e)(T: DiagMainStreak e)(T: RowStreak e))))))(F: If <=(F: Minus(T: ColumnStreak f)(T: ColumnStreak f))(T: DiagSecStreak f)(T: WinOrBlock e)(T: DiagSecStreak f)))(F: Multi(F: Minus(T: DiagSecStreak f)(T: ColumnStreak f))(F: If <=(T: WinOrBlock f)(T: ColumnStreak f)(F: Plus(T: ColumnStreak f)(T: CountNeightbors f))(T: DiagMainStreak f)))),
20,Mjolzzzzzz,0.0,Reiclzzzzz,4.3,0.9959999999999991,([F: Plus](F: If >=(F: Minus(T: RowStreak f)(T: WinOrBlock f))(F: Minus(T: RowStreak f)(T: DiagMainStreak f))(F: Plus(T: ColumnStreak f)(F: Plus(F: If <=(T: CountNeightbors e)(T: RowStreak e)(T: RowStreak f)(T: DiagMainStreak f))(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))))(F: Multi(F: If <=(F: Multi(F: Minus(T: RowStreak f)(T: ColumnStreak e))(F: If <=(T: CountNeightbors e)(T: DiagMainStreak e)(F: Minus(T: DiagMainStreak e)(T: DiagMainStreak e))(T: DiagMainStreak f)))(T: DiagSecStreak f)(T: RowStreak f)(F: Plus(F: If <=(T: CountNeightbors e)(T: RowStreak e)(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))(T: RowStreak e))(F: Plus(T: WinOrBlock e)(T: ColumnStreak f))))(T: RowStreak e)))(F: Plus(T: DiagMainStreak e)(F: Plus(T: WinOrBlock e)(T: RowStreak f)))),
21,Reicllzzzz,0.0,Mjolzlzzzc,4.3,0.8399999999999992,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(F: Minus(T: RowStreak f)(T: CountNeightbors e))(T: RowStreak e)(T: DiagMainStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(T: CountNeightbors e)(T: RowStreak e)(T: DiagMainStreak e)(T: RowStreak e))))))(F: If <=(F: Minus(T: ColumnStreak f)(T: ColumnStreak f))(T: DiagSecStreak f)(T: WinOrBlock e)(T: DiagSecStreak f)))(F: Multi(F: Minus(T: DiagSecStreak f)(T: ColumnStreak f))(F: If <=(T: WinOrBlock f)(T: ColumnStreak f)(F: Plus(T: ColumnStreak f)(T: CountNeightbors f))(T: DiagMainStreak f)))),
