Genetic Tic Tac Toe Experiment
Experiment Time: 23/06/2016 14:22:17
Experiment Parameters:,
Board Size:,10,
Required Streak:,5,
Population Size:,100,
Max Generations:,20,
Select Maximal Index Method:,Random,
Initial Individual Tree Depth:,3,
Maximum Individual Tree Depth:,6,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
,
Function Set:,
If >=,Plus,
Terminal Set:,
RowStreak,ColumnStreak,DiagMainStreak,DiagSecStreak,WinOrBlock,
,
Generation,Worst Individual Name,Worst Individual Fitness,Best Individual Name,Best Individual Fitness,Average Fitness,Best Individual Tree,
1,Krcloarc,22.6,Drakmimed,239.6,141.67000000000004,([F: Plus](F: If >=(T: ColumnStreak e)(T: ColumnStreak f)(T: WinOrBlock e)(T: ColumnStreak f))(F: Plus(T: ColumnStreak e)(T: DiagMainStreak f))),
2,Azuruurakzu,79.1,Cryimarzauru,232.5,164.36999999999998,([F: Plus](F: If >=(T: DiagSecStreak f)(T: DiagMainStreak e)(T: ColumnStreak e)(T: DiagSecStreak f))(F: Plus(T: WinOrBlock e)(T: DiagSecStreak f))),
3,Azuruurakzu,2.0,Meraikmim,231.9,159.56999999999994,([F: Plus](T: WinOrBlock e)(F: Plus(T: RowStreak e)(T: WinOrBlock f))),
4,Cryimairmu,30.4,Krcraikmi,254.60000000000002,161.7500000000001,([F: Plus](F: Plus(T: RowStreak e)(T: WinOrBlock f))(F: Plus(T: WinOrBlock e)(T: ColumnStreak f))),
5,Krcreeezoi,28.0,Merarara,230.9,143.84000000000003,([F: Plus](T: WinOrBlock e)(F: Plus(T: DiagSecStreak e)(T: WinOrBlock f))),
6,Meramukrk,31.0,Krcreeraik,209.39999999999998,137.83000000000007,([F: Plus](F: If >=(T: DiagMainStreak f)(T: DiagSecStreak e)(T: DiagSecStreak f)(T: RowStreak f))(F: Plus(T: WinOrBlock e)(F: Plus(F: If >=(T: ColumnStreak f)(T: DiagSecStreak e)(T: WinOrBlock f)(T: DiagSecStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))))),
7,Krcremoal,26.2,Krcreeerai,221.4,138.99,([F: Plus](F: If >=(T: DiagMainStreak f)(T: WinOrBlock f)(F: Plus(F: If >=(T: ColumnStreak f)(T: DiagSecStreak e)(T: WinOrBlock e)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: RowStreak f)))(T: DiagMainStreak e))(F: Plus(T: WinOrBlock e)(F: Plus(F: If >=(T: ColumnStreak f)(T: DiagSecStreak e)(T: WinOrBlock f)(T: DiagSecStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))))),
8,Meraerear,25.8,Krcrerrura,187.9,137.32999999999998,([F: Plus](F: If >=(T: WinOrBlock e)(T: WinOrBlock f)(T: DiagSecStreak f)(T: WinOrBlock f))(F: Plus(T: WinOrBlock e)(F: Plus(F: If >=(T: WinOrBlock f)(T: DiagSecStreak e)(T: DiagSecStreak f)(T: DiagSecStreak e))(F: If >=(F: Plus(T: DiagSecStreak e)(T: ColumnStreak e))(F: Plus(T: RowStreak f)(T: ColumnStreak f))(F: If >=(T: WinOrBlock e)(T: ColumnStreak f)(T: RowStreak f)(T: DiagMainStreak f))(F: If >=(T: DiagSecStreak f)(T: DiagSecStreak e)(T: DiagMainStreak f)(T: RowStreak f)))))),
9,Krcreeeer,22.9,Krcreerrur,197.9,131.95999999999995,([F: Plus](F: If >=(T: DiagSecStreak f)(T: DiagSecStreak e)(T: DiagMainStreak f)(T: RowStreak f))(F: Plus(T: WinOrBlock e)(F: Plus(F: If >=(T: ColumnStreak f)(T: DiagSecStreak e)(T: WinOrBlock f)(T: DiagSecStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))))),
10,Krcreerrur,21.8,Krcreeeera,201.6,140.68,([F: Plus](F: If >=(T: DiagMainStreak f)(T: WinOrBlock f)(F: Plus(T: DiagMainStreak e)(F: Plus(T: DiagMainStreak e)(T: RowStreak f)))(T: DiagMainStreak e))(F: Plus(T: WinOrBlock e)(F: Plus(F: If >=(T: ColumnStreak f)(T: DiagSecStreak e)(T: WinOrBlock f)(T: DiagSecStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))))),
