Genetic Tic Tac Toe Experiment
Experiment Time: 23/06/2016 19:29:29
Experiment Parameters:,
Board Size:,10,
Required Streak:,5,
Population Size:,100,
Max Generations:,50,
Select Maximal Index Method:,Random,
Initial Individual Tree Depth:,3,
Maximum Individual Tree Depth:,6,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
,
Function Set:,
If >=,Plus,
Terminal Set:,
RowStreak,ColumnStreak,DiagMainStreak,DiagSecStreak,WinOrBlock,
,
Generation,Worst Individual Name,Worst Individual Fitness,Best Individual Name,Best Individual Fitness,Average Fitness,Best Individual Tree,
1,Camaracd,0.0,Azursalmarzaurus,3.0,0.485,([F: Plus](F: Plus(T: ColumnStreak f)(T: RowStreak f))(F: If >=(T: ColumnStreak f)(T: DiagMainStreak e)(T: DiagMainStreak e)(T: DiagSecStreak f))),
2,Creosarzauru,0.0,Madzzoire,2.7,0.37199999999999944,([F: Plus](T: DiagMainStreak f)(F: Plus(T: ColumnStreak f)(T: WinOrBlock e))),
3,Zorkerzauru,0.0,Madzzoire,2.3,0.4789999999999994,([F: Plus](T: DiagMainStreak f)(F: Plus(T: ColumnStreak f)(T: WinOrBlock e))),
4,Azurscrkzze,0.0,Bremrazoi,2.7,0.5339999999999999,([F: Plus](F: Plus(T: DiagSecStreak e)(F: Plus(T: ColumnStreak f)(T: WinOrBlock e)))(T: DiagSecStreak f)),
5,Madzraaar,0.0,Bremmrazo,2.7,0.47699999999999965,([F: Plus](F: Plus(T: RowStreak e)(F: Plus(T: ColumnStreak f)(T: WinOrBlock e)))(T: DiagSecStreak f)),
6,Bremszsalm,0.0,Bremsamze,2.3,0.48899999999999966,([F: Plus](F: Plus(T: ColumnStreak f)(F: Plus(T: ColumnStreak f)(T: WinOrBlock e)))(T: DiagSecStreak f)),
7,Azursrrszl,0.0,Azurmsamz,2.3,0.3709999999999995,([F: Plus](F: Plus(T: ColumnStreak f)(T: RowStreak f))(F: If >=(T: ColumnStreak f)(T: ColumnStreak f)(T: DiagMainStreak e)(F: Plus(T: ColumnStreak f)(T: WinOrBlock e)))),
8,Azurssmmra,0.0,Azurslamsa,2.7,0.32000000000000006,([F: Plus](F: Plus(T: ColumnStreak f)(T: WinOrBlock e))(F: If >=(T: WinOrBlock e)(T: ColumnStreak f)(T: DiagMainStreak e)(T: DiagMainStreak e))),
9,Azurssmssa,0.0,Azursrrszl,2.3,0.4329999999999991,([F: Plus](T: ColumnStreak f)(F: Plus(T: ColumnStreak f)(T: WinOrBlock e))),
10,Azurssmmrr,0.0,Azursssrsz,2.3,0.4109999999999993,([F: Plus](F: Plus(T: ColumnStreak f)(T: RowStreak f))(F: If >=(T: WinOrBlock e)(T: ColumnStreak f)(T: DiagMainStreak e)(T: DiagMainStreak e))),
11,Azursssssm,0.0,Azursssrsz,2.3,0.40999999999999936,([F: Plus](F: Plus(T: ColumnStreak f)(T: RowStreak f))(F: If >=(T: WinOrBlock e)(T: ColumnStreak f)(T: DiagMainStreak e)(T: DiagMainStreak e))),
12,Azurssrrsz,0.0,Azursssssr,4.0,0.6059999999999998,([F: Plus](F: Plus(T: ColumnStreak f)(T: RowStreak f))(F: If >=(F: If >=(T: DiagMainStreak e)(T: DiagSecStreak f)(T: ColumnStreak f)(T: RowStreak f))(F: If >=(T: DiagMainStreak e)(T: WinOrBlock e)(T: DiagSecStreak f)(T: ColumnStreak f))(F: Plus(T: WinOrBlock e)(T: DiagSecStreak e))(T: ColumnStreak f))),
13,Azursssssm,0.0,Azursssasl,3.0,0.44,([F: Plus](F: Plus(T: ColumnStreak f)(T: RowStreak f))(F: If >=(F: If >=(T: DiagMainStreak e)(T: DiagSecStreak f)(T: ColumnStreak f)(T: RowStreak f))(F: If >=(T: DiagMainStreak e)(T: WinOrBlock e)(T: DiagSecStreak f)(T: ColumnStreak f))(F: Plus(T: WinOrBlock e)(T: DiagSecStreak e))(T: ColumnStreak f))),
14,Azurssssss,0.0,Azurssssrs,4.3,0.5479999999999999,([F: Plus](F: Plus(T: ColumnStreak f)(T: RowStreak f))(F: If >=(T: WinOrBlock e)(T: ColumnStreak f)(T: DiagMainStreak e)(T: DiagMainStreak e))),
15,Azurssssss,0.0,Azurssssss,4.3,0.483,([F: Plus](F: Plus(T: RowStreak f)(T: RowStreak f))(F: Plus(T: RowStreak e)(T: ColumnStreak f))),
16,Azurssrsss,0.0,Azurssssss,2.7,0.5429999999999997,([F: Plus](F: Plus(T: ColumnStreak f)(T: RowStreak f))(F: If >=(F: If >=(T: RowStreak f)(T: DiagSecStreak f)(T: RowStreak f)(T: RowStreak f))(F: If >=(T: DiagMainStreak e)(T: WinOrBlock e)(T: DiagSecStreak f)(T: ColumnStreak f))(F: Plus(T: WinOrBlock e)(T: DiagSecStreak e))(T: ColumnStreak f))),
17,Azursssasl,0.0,Azurssssss,4.0,0.34699999999999975,([F: Plus](F: Plus(T: ColumnStreak f)(T: RowStreak f))(F: If >=(F: If >=(T: RowStreak f)(T: DiagSecStreak f)(T: RowStreak f)(T: RowStreak f))(F: If >=(T: DiagMainStreak e)(T: WinOrBlock e)(T: DiagSecStreak f)(T: ColumnStreak f))(F: Plus(T: WinOrBlock e)(T: DiagSecStreak e))(T: DiagSecStreak f))),
18,Azurssssss,0.0,Azurssssss,4.0,0.5069999999999996,([F: Plus](F: Plus(T: ColumnStreak f)(T: RowStreak f))(F: If >=(T: ColumnStreak f)(F: Plus(T: RowStreak e)(F: Plus(T: ColumnStreak f)(T: RowStreak f)))(F: Plus(T: RowStreak e)(T: WinOrBlock e))(F: Plus(T: RowStreak e)(F: Plus(T: ColumnStreak f)(T: RowStreak f))))),
19,Azurssssss,0.0,Azurssssss,3.0,0.44299999999999967,([F: Plus](F: Plus(T: ColumnStreak f)(T: RowStreak f))(F: If >=(T: RowStreak f)(F: If >=(T: DiagMainStreak e)(T: WinOrBlock e)(T: DiagSecStreak f)(T: ColumnStreak f))(F: Plus(T: WinOrBlock e)(T: DiagSecStreak e))(T: DiagSecStreak f))),
20,Azurssssss,0.0,Azurssssss,2.7,0.4279999999999992,([F: Plus](F: Plus(T: ColumnStreak f)(T: RowStreak f))(F: If >=(F: If >=(T: RowStreak f)(F: Plus(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak f))(F: If >=(T: DiagMainStreak e)(T: DiagMainStreak e)(T: ColumnStreak e)(T: ColumnStreak f)))(T: RowStreak f)(T: RowStreak f))(F: If >=(T: DiagMainStreak e)(T: WinOrBlock e)(T: DiagSecStreak f)(T: ColumnStreak f))(F: Plus(T: WinOrBlock e)(T: DiagSecStreak e))(T: ColumnStreak f))),
21,Azurssssss,0.0,Azurssssss,3.0,0.36499999999999955,([F: Plus](F: Plus(T: ColumnStreak f)(T: WinOrBlock e))(F: If >=(T: DiagSecStreak f)(F: Plus(T: DiagMainStreak e)(F: Plus(T: ColumnStreak f)(T: RowStreak f)))(F: Plus(T: RowStreak e)(T: WinOrBlock e))(F: Plus(T: RowStreak e)(F: Plus(T: ColumnStreak f)(T: RowStreak f))))),
22,Azurssssss,0.0,Azurssssss,2.3,0.5099999999999995,([F: Plus](F: Plus(T: ColumnStreak f)(T: RowStreak f))(F: If >=(T: RowStreak f)(T: DiagSecStreak f)(F: Plus(T: WinOrBlock e)(T: DiagSecStreak e))(T: DiagSecStreak f))),
23,Azurssssss,0.0,Azurssssss,2.7,0.5289999999999996,([F: Plus](F: Plus(F: Plus(F: If >=(F: If >=(T: DiagMainStreak f)(T: RowStreak f)(T: RowStreak f)(T: RowStreak f))(F: If >=(T: DiagMainStreak e)(T: WinOrBlock e)(T: DiagSecStreak f)(T: ColumnStreak f))(F: Plus(T: WinOrBlock e)(T: DiagSecStreak e))(T: ColumnStreak f))(T: DiagMainStreak e))(T: DiagSecStreak f))(F: If >=(T: DiagSecStreak f)(F: Plus(F: Plus(T: RowStreak e)(T: ColumnStreak e))(T: WinOrBlock e))(T: ColumnStreak e)(F: Plus(T: ColumnStreak e)(F: If >=(F: If >=(T: DiagMainStreak e)(T: RowStreak e)(T: DiagMainStreak e)(T: ColumnStreak f))(F: If >=(T: DiagMainStreak e)(T: RowStreak f)(T: DiagMainStreak e)(T: ColumnStreak f))(F: Plus(T: WinOrBlock e)(T: DiagSecStreak e))(T: ColumnStreak f))))),
24,Azurssssss,0.0,Azurssssss,4.3,0.47899999999999965,([F: Plus](F: Plus(T: ColumnStreak f)(T: RowStreak f))(F: If >=(T: ColumnStreak f)(F: If >=(T: DiagSecStreak e)(T: DiagMainStreak e)(T: ColumnStreak f)(T: WinOrBlock e))(F: Plus(T: RowStreak e)(T: RowStreak f))(F: Plus(T: RowStreak e)(F: Plus(F: If >=(T: DiagMainStreak e)(T: DiagSecStreak e)(T: RowStreak e)(T: ColumnStreak e))(F: If >=(T: DiagMainStreak f)(T: RowStreak f)(T: ColumnStreak e)(T: ColumnStreak e)))))),
25,Azurssssss,0.0,Azurssssss,2.7,0.5529999999999994,([F: Plus](F: Plus(T: ColumnStreak f)(T: RowStreak f))(F: If >=(F: If >=(T: RowStreak f)(F: Plus(T: RowStreak f)(F: If >=(T: DiagMainStreak f)(T: DiagSecStreak f)(T: ColumnStreak e)(T: ColumnStreak e)))(T: RowStreak f)(T: RowStreak f))(T: RowStreak f)(F: Plus(T: WinOrBlock e)(T: DiagSecStreak e))(T: RowStreak f))),
26,Azurssssss,0.0,Azurssssss,2.7,0.4419999999999995,([F: Plus](F: Plus(T: RowStreak f)(F: Plus(T: ColumnStreak f)(T: RowStreak f)))(F: If >=(F: If >=(T: WinOrBlock e)(T: DiagSecStreak f)(T: RowStreak f)(T: RowStreak f))(T: RowStreak f)(F: Plus(T: WinOrBlock e)(T: DiagSecStreak e))(T: DiagSecStreak f))),
27,Azursrssss,0.0,Azurssssss,2.7,0.5159999999999997,([F: Plus](F: Plus(T: ColumnStreak e)(T: RowStreak f))(F: If >=(F: If >=(T: RowStreak f)(F: Plus(T: RowStreak f)(F: If >=(T: DiagMainStreak f)(T: DiagSecStreak f)(T: ColumnStreak e)(T: ColumnStreak e)))(T: RowStreak f)(T: RowStreak f))(T: RowStreak f)(F: Plus(T: WinOrBlock e)(T: DiagSecStreak e))(T: RowStreak f))),
