Genetic Tic Tac Toe Experiment
Experiment Time: 23/06/2016 11:29:15
Expirement Parameters:,
Board Size:,10,
Required Streak:,5,
Population Size:,100,
Max Generations:,50,
Select Maximal Index Method:,Random,
Initial Individual Tree Depth:,3,
Maximum Individual Tree Depth:,6,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
,
Function Set:,
If >=,Plus,
Terminal Set:,
RowStreak,ColumnStreak,DiagMainStreak,DiagSecStreak,WinOrBlock,
,
Generation,Worst Individual Name,Worst Individual Fitness,Best Individual Name,Best Individual Fitness,Average Fitness,Best Individual Tree,
15,Drakukkuau,0.0,Azakkkkku,4.0,0.7609999999999988,([F: Plus](F: If >=(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))(T: ColumnStreak f)(T: WinOrBlock f)(F: Plus(F: If >=(T: WinOrBlock f)(F: Plus(T: ColumnStreak f)(T: DiagSecStreak e))(T: ColumnStreak f)(T: DiagSecStreak f))(F: If >=(T: ColumnStreak f)(T: DiagMainStreak f)(T: WinOrBlock e)(T: DiagMainStreak f))))(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))),
16,Azakkaaak,0.0,Azakkkkkk,3.0,0.7599999999999989,([F: Plus](T: DiagSecStreak e)(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))),
17,Azakkkkkk,0.0,Azakkkukk,2.7,0.5219999999999996,([F: Plus](T: DiagSecStreak e)(F: If >=(F: If >=(T: DiagMainStreak f)(T: WinOrBlock e)(T: WinOrBlock f)(T: RowStreak e))(F: If >=(T: RowStreak e)(T: WinOrBlock e)(T: ColumnStreak e)(T: DiagMainStreak f))(F: If >=(T: RowStreak e)(T: ColumnStreak f)(T: ColumnStreak e)(T: ColumnStreak e))(F: If >=(T: RowStreak e)(T: DiagSecStreak f)(T: WinOrBlock e)(T: WinOrBlock f)))),
18,Azakkkkuk,0.0,Azakakuku,3.0,0.5039999999999993,([F: Plus](F: If >=(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))(T: DiagSecStreak e)(T: WinOrBlock f)(F: Plus(F: If >=(T: WinOrBlock f)(F: Plus(T: ColumnStreak f)(T: DiagSecStreak e))(T: ColumnStreak f)(T: DiagSecStreak f))(T: ColumnStreak f)))(F: Plus(T: WinOrBlock e)(F: Plus(T: RowStreak f)(T: DiagMainStreak e)))),
19,Breaakkkkk,0.0,Azakkkkkk,3.7,0.6279999999999998,([F: Plus](F: Plus(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))(T: DiagSecStreak e))(F: Plus(T: DiagMainStreak f)(T: WinOrBlock f))),
20,Azakkkkkk,0.0,Azakkakkk,4.6,0.8339999999999985,([F: Plus](F: If >=(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))(T: DiagSecStreak e)(T: WinOrBlock f)(F: Plus(F: If >=(T: WinOrBlock f)(F: Plus(T: ColumnStreak f)(T: DiagSecStreak e))(T: ColumnStreak f)(T: DiagSecStreak f))(T: ColumnStreak f)))(F: Plus(T: DiagMainStreak f)(F: Plus(T: RowStreak f)(T: DiagMainStreak e)))),
21,Azakkkkkk,0.0,Azakkkkkk,3.0,0.8979999999999987,([F: Plus](F: If >=(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))(T: ColumnStreak f)(T: WinOrBlock f)(F: Plus(F: If >=(T: ColumnStreak f)(T: ColumnStreak f)(T: DiagSecStreak e)(T: DiagSecStreak f))(F: If >=(T: ColumnStreak f)(T: DiagMainStreak f)(T: WinOrBlock e)(T: DiagMainStreak f))))(F: Plus(T: WinOrBlock e)(T: ColumnStreak f))),
22,Azakkkkkk,0.0,Azakkkkkk,4.3,0.8399999999999992,([F: Plus](F: If >=(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))(T: ColumnStreak f)(T: WinOrBlock f)(F: Plus(F: If >=(F: Plus(T: WinOrBlock e)(T: ColumnStreak f))(T: WinOrBlock f)(T: ColumnStreak f)(T: DiagSecStreak f))(F: If >=(T: ColumnStreak f)(T: DiagMainStreak f)(T: WinOrBlock e)(T: DiagMainStreak f))))(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))),
23,Azakkkkak,0.0,Azakkkkka,3.0,0.7909999999999987,([F: Plus](F: If >=(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))(T: ColumnStreak f)(T: WinOrBlock f)(F: Plus(F: If >=(F: Plus(T: WinOrBlock e)(T: ColumnStreak f))(T: WinOrBlock f)(T: ColumnStreak f)(T: DiagSecStreak f))(F: If >=(T: ColumnStreak f)(T: DiagSecStreak e)(T: WinOrBlock e)(T: DiagMainStreak f))))(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))),
24,Azakkkkkk,0.0,Azakkkkkk,2.6,0.5359999999999991,([F: Plus](F: If >=(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))(T: ColumnStreak f)(T: WinOrBlock f)(F: Plus(F: If >=(T: ColumnStreak f)(T: ColumnStreak f)(T: ColumnStreak f)(T: DiagSecStreak f))(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))))(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))),
25,Azakkkkkk,0.0,Azakkkkkk,4.0,0.7389999999999992,([F: Plus](F: Plus(F: Plus(F: Plus(T: WinOrBlock e)(F: If >=(T: DiagMainStreak f)(T: DiagSecStreak e)(T: WinOrBlock f)(T: DiagSecStreak f)))(F: Plus(F: If >=(T: ColumnStreak f)(T: ColumnStreak f)(T: ColumnStreak f)(T: DiagSecStreak f))(F: If >=(T: ColumnStreak f)(T: WinOrBlock f)(T: WinOrBlock e)(T: ColumnStreak e))))(T: DiagSecStreak e))(F: Plus(T: DiagMainStreak f)(T: WinOrBlock f))),
26,Azakkkkkk,0.0,Azakkkkkk,2.7,0.8519999999999984,([F: Plus](F: If >=(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(T: ColumnStreak f)(F: Plus(T: ColumnStreak f)(T: DiagSecStreak e))(F: Plus(F: If >=(F: Plus(T: RowStreak e)(T: ColumnStreak f))(T: WinOrBlock f)(T: WinOrBlock e)(T: DiagSecStreak f))(F: If >=(T: ColumnStreak f)(T: DiagMainStreak f)(T: WinOrBlock e)(T: DiagMainStreak f))))(F: Plus(T: WinOrBlock e)(T: WinOrBlock f))),
