Genetic Tic Tac Toe Experiment
Experiment Time: 27/06/2016 14:17:48
Experiment Parameters:,
Board Size:,3,
Required Streak:,3,
Population Size:,100,
Max Generations:,50,
Select Maximal Index Method:,Random,
Initial Individual Tree Depth:,3,
Maximum Individual Tree Depth:,6,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
,
Function Set:,
If >=,Plus,
Terminal Set:,
RowStreak,ColumnStreak,DiagMainStreak,DiagSecStreak,WinOrBlock,
,
Generation,Worst Individual Name,Worst Individual Fitness,Best Individual Name,Best Individual Fitness,Average Fitness,Best Individual Tree,
1,Merreddink,41.5,Reislamarark,211.0,125.82000000000002,([F: Plus](F: Plus(T: RowStreak f)(T: DiagMainStreak f))(F: If >=(T: ColumnStreak f)(T: WinOrBlock e)(T: WinOrBlock f)(T: WinOrBlock e))),
2,Cryzoirime,32.8,Brezosorar,200.3,111.21000000000002,([F: Plus](F: If >=(T: DiagSecStreak e)(T: DiagSecStreak f)(T: ColumnStreak f)(T: DiagSecStreak e))(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: WinOrBlock e)(T: RowStreak f))),
3,Jarrelmarz,35.4,Brezouurakz,201.60000000000002,119.76999999999998,([F: Plus](F: If >=(F: If >=(T: WinOrBlock e)(T: ColumnStreak f)(T: ColumnStreak f)(T: DiagSecStreak e))(F: If >=(T: DiagSecStreak f)(T: DiagMainStreak f)(T: DiagSecStreak f)(T: DiagMainStreak f))(F: Plus(T: DiagSecStreak f)(T: DiagSecStreak f))(F: If >=(T: DiagSecStreak e)(T: WinOrBlock f)(T: WinOrBlock f)(T: WinOrBlock f)))(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(F: Plus(T: RowStreak f)(T: WinOrBlock e))(T: DiagMainStreak e))),
4,Brezoooirm,30.5,Brezokuedt,205.39999999999998,131.6699999999999,([F: Plus](F: If >=(T: DiagSecStreak e)(T: DiagSecStreak f)(T: WinOrBlock e)(T: DiagSecStreak e))(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: WinOrBlock e)(T: RowStreak f))),
5,Brezooosor,31.4,Brezooourak,178.1,125.41,([F: Plus](F: Plus(F: If >=(T: RowStreak f)(T: WinOrBlock f)(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: WinOrBlock e)(T: RowStreak f))(T: DiagSecStreak e))(F: Plus(T: ColumnStreak e)(T: DiagSecStreak f)))(F: If >=(F: If >=(T: DiagSecStreak e)(T: DiagSecStreak f)(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: WinOrBlock e)(T: RowStreak f))(T: DiagSecStreak e))(T: DiagMainStreak e)(T: WinOrBlock e)(T: DiagMainStreak e))),
6,Brezokuedt,27.099999999999998,Brezoookue,201.6,118.03999999999995,([F: Plus](T: WinOrBlock f)(F: If >=(T: RowStreak e)(T: DiagMainStreak e)(T: WinOrBlock e)(T: DiagSecStreak f))),
7,Brezooooku,19.7,Brezooooour,186.89999999999998,117.47,([F: Plus](T: WinOrBlock f)(F: If >=(T: RowStreak e)(T: DiagMainStreak e)(T: WinOrBlock e)(T: DiagSecStreak f))),
8,Brezooooour,27.599999999999998,Brezooooku,161.2,111.52,([F: Plus](T: WinOrBlock f)(F: If >=(T: RowStreak e)(T: DiagMainStreak e)(T: WinOrBlock e)(T: DiagSecStreak f))),
9,Brezoooook,19.0,Brezooooooo,155.2,112.15999999999998,([F: Plus](F: Plus(F: If >=(T: RowStreak f)(T: WinOrBlock f)(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(F: If >=(T: DiagMainStreak f)(T: DiagSecStreak e)(T: RowStreak e)(T: DiagMainStreak e))(T: RowStreak f))(T: DiagSecStreak e))(T: WinOrBlock f))(F: If >=(F: If >=(T: DiagSecStreak e)(T: DiagSecStreak f)(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: DiagSecStreak e)(T: RowStreak f))(T: DiagSecStreak e))(T: DiagMainStreak e)(T: WinOrBlock e)(T: DiagMainStreak e))),
10,Brezoooooo,26.0,Brezoooooou,158.4,109.41999999999999,([F: Plus](T: WinOrBlock f)(F: If >=(F: If >=(T: DiagSecStreak e)(T: WinOrBlock f)(F: If >=(F: If >=(T: DiagMainStreak f)(T: DiagSecStreak e)(T: WinOrBlock e)(T: RowStreak f))(T: DiagMainStreak e)(T: WinOrBlock e)(T: RowStreak f))(T: DiagSecStreak e))(T: DiagMainStreak e)(T: WinOrBlock e)(T: DiagSecStreak f))),
