Genetic Tic Tac Toe Experiment
Experiment Time: 27/06/2016 14:23:03
Experiment Parameters:,
Board Size:,10,
Required Streak:,5,
Population Size:,100,
Max Generations:,50,
Select Maximal Index Method:,Random,
Initial Individual Tree Depth:,3,
Maximum Individual Tree Depth:,6,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
,
Function Set:,
If >=,Plus,
Terminal Set:,
RowStreak,ColumnStreak,DiagMainStreak,DiagSecStreak,WinOrBlock,
,
Generation,Worst Individual Name,Worst Individual Fitness,Best Individual Name,Best Individual Fitness,Average Fitness,Best Individual Tree,
13,Phourrrrmrr,0.0,Phourrrkrrr,5.3,0.8719999999999998,([F: Plus](T: WinOrBlock e)(F: Plus(F: Plus(T: DiagSecStreak e)(F: Plus(F: Plus(T: WinOrBlock f)(T: DiagSecStreak f))(F: If >=(T: DiagSecStreak e)(T: RowStreak f)(T: ColumnStreak f)(T: ColumnStreak f))))(F: Plus(T: DiagSecStreak f)(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak f))))),
14,Phourrrrrrr,0.0,Phourrrrrrr,3.3,0.9259999999999995,([F: Plus](T: WinOrBlock e)(F: Plus(F: Plus(T: DiagSecStreak e)(F: Plus(F: Plus(T: WinOrBlock f)(T: DiagSecStreak f))(F: If >=(T: DiagSecStreak e)(T: RowStreak f)(T: ColumnStreak f)(T: ColumnStreak f))))(F: If >=(T: RowStreak f)(T: WinOrBlock f)(T: WinOrBlock e)(T: WinOrBlock f)))),
15,Phourrrrrkr,0.0,Phourrrrrrr,3.0,0.8579999999999995,([F: Plus](T: WinOrBlock e)(F: Plus(F: Plus(T: DiagSecStreak e)(F: Plus(F: Plus(T: WinOrBlock f)(T: DiagSecStreak f))(F: If >=(T: DiagSecStreak e)(T: RowStreak f)(T: ColumnStreak f)(T: ColumnStreak f))))(F: If >=(T: RowStreak f)(T: WinOrBlock f)(T: WinOrBlock e)(T: WinOrBlock f)))),
16,Phourrrrkrr,0.0,Phourrrrrrr,3.0,0.8969999999999991,([F: Plus](T: WinOrBlock e)(F: Plus(F: Plus(T: DiagSecStreak e)(F: Plus(F: Plus(T: WinOrBlock f)(T: DiagSecStreak f))(F: If >=(T: WinOrBlock e)(T: RowStreak f)(T: ColumnStreak f)(T: ColumnStreak f))))(F: Plus(T: DiagSecStreak f)(F: Plus(F: If >=(T: DiagMainStreak e)(T: WinOrBlock e)(T: ColumnStreak e)(T: RowStreak f))(F: If >=(T: WinOrBlock f)(T: RowStreak e)(T: DiagSecStreak e)(T: WinOrBlock f)))))),
17,Phourrrrrrr,0.0,Phourrrrrrr,2.6,0.8179999999999992,([F: Plus](T: WinOrBlock e)(F: Plus(F: Plus(T: DiagSecStreak e)(F: Plus(F: Plus(T: WinOrBlock f)(T: DiagSecStreak f))(F: If >=(T: WinOrBlock e)(T: RowStreak f)(T: ColumnStreak f)(T: ColumnStreak f))))(F: Plus(T: DiagSecStreak f)(F: Plus(T: RowStreak e)(F: If >=(T: DiagSecStreak e)(T: RowStreak e)(T: DiagSecStreak e)(T: WinOrBlock f)))))),
18,Phourrrrrrr,0.0,Phourrrrrrr,4.0,1.0009999999999994,([F: Plus](T: WinOrBlock e)(F: Plus(F: Plus(F: Plus(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: RowStreak f)))(F: Plus(F: Plus(T: RowStreak f)(T: RowStreak f))(F: If >=(T: DiagSecStreak e)(T: DiagSecStreak f)(T: DiagSecStreak f)(T: ColumnStreak e))))(F: Plus(F: If >=(T: ColumnStreak e)(T: DiagMainStreak f)(T: DiagMainStreak f)(T: ColumnStreak f))(T: ColumnStreak f)))),
19,Phourrrrrrr,0.0,Phourrrrrrr,3.0,0.8289999999999995,([F: Plus](T: WinOrBlock e)(F: Plus(F: Plus(F: Plus(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: RowStreak f)))(F: Plus(F: Plus(T: RowStreak f)(T: RowStreak f))(F: If >=(T: DiagSecStreak e)(T: DiagSecStreak f)(T: DiagSecStreak f)(T: ColumnStreak e))))(F: Plus(T: DiagSecStreak f)(F: Plus(F: If >=(T: DiagMainStreak e)(T: WinOrBlock e)(T: DiagMainStreak e)(T: RowStreak f))(F: If >=(T: WinOrBlock f)(T: RowStreak e)(T: DiagSecStreak e)(T: WinOrBlock f)))))),
20,Phourrrrrrr,0.0,Phourrrrrrr,3.0,0.7629999999999992,([F: Plus](F: Plus(F: If >=(F: If >=(T: WinOrBlock f)(T: DiagSecStreak e)(T: DiagSecStreak e)(T: WinOrBlock e))(T: DiagMainStreak e)(F: Plus(T: WinOrBlock e)(T: ColumnStreak e))(F: If >=(T: ColumnStreak e)(T: ColumnStreak f)(T: DiagMainStreak e)(T: WinOrBlock f)))(F: Plus(F: Plus(F: If >=(T: ColumnStreak e)(T: WinOrBlock f)(T: WinOrBlock e)(T: WinOrBlock f))(T: RowStreak e))(F: Plus(T: RowStreak f)(T: DiagMainStreak f))))(T: DiagSecStreak f)),
21,Phourrrrrrr,0.0,Phourrrrrrr,4.6,1.1219999999999992,([F: Plus](T: WinOrBlock e)(F: Plus(F: Plus(F: Plus(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: DiagSecStreak f)))(F: Plus(F: Plus(T: RowStreak f)(T: RowStreak f))(F: If >=(T: DiagSecStreak e)(T: DiagSecStreak f)(T: DiagSecStreak f)(T: ColumnStreak e))))(F: Plus(F: If >=(T: ColumnStreak e)(T: DiagMainStreak f)(T: DiagMainStreak f)(T: ColumnStreak f))(T: ColumnStreak f)))),
22,Phourrrrrrr,0.0,Phourrrrrrr,4.3,1.0309999999999995,([F: Plus](T: WinOrBlock e)(F: Plus(F: Plus(F: Plus(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: DiagSecStreak f)))(F: Plus(F: Plus(T: RowStreak f)(T: RowStreak f))(F: If >=(T: DiagSecStreak e)(T: DiagSecStreak f)(T: DiagSecStreak f)(T: ColumnStreak e))))(F: Plus(T: ColumnStreak f)(T: ColumnStreak f)))),
