Genetic Tic Tac Toe Experiment
Experiment Time: 26/06/2016 15:10:20
Experiment Parameters:,
Board Size:,10,
Required Streak:,5,
Population Size:,200,
Max Generations:,50,
Select Maximal Index Method:,Random,
Initial Individual Tree Depth:,3,
Maximum Individual Tree Depth:,7,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
,
Function Set:,
If >=,Plus,
Terminal Set:,
CountNeightbors,CountRow,CountColumn,DiagMainStreak,CountDiagSec,RowStreak,ColumnStreak,DiagMainStreak,DiagSecStreak,RandVal,IsRandIndex,WinOrBlock,
,
Generation,Worst Individual Name,Worst Individual Fitness,Best Individual Name,Best Individual Fitness,Average Fitness,Best Individual Tree,
14,Azakaaaaaa,62.4,Azakaaaaaz,424.8,300.25299999999993,([F: Plus](F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(T: DiagSecStreak e)(T: RowStreak f)))(F: Plus(F: Plus(T: WinOrBlock f)(F: If >=(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: Plus(T: IsRandIndex 74)(T: RowStreak e))(T: WinOrBlock f)))(F: If >=(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: Plus(T: IsRandIndex 74)(T: ColumnStreak f))(T: WinOrBlock f))))(F: Plus(T: IsRandIndex 75)(T: WinOrBlock e))),
15,Azakaaaaaaa,45.9,Azakaaaaaa,464.4,298.57450000000006,([F: Plus](F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(T: DiagSecStreak e)(T: RowStreak f)))(F: Plus(F: Plus(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: If >=(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: Plus(T: IsRandIndex 74)(T: RowStreak e))(T: WinOrBlock f)))(F: If >=(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: Plus(T: IsRandIndex 74)(T: ColumnStreak f))(T: WinOrBlock f))))(F: Plus(T: IsRandIndex 75)(T: WinOrBlock e))),
16,Azakaaaaaa,35.2,Azakaaaaaa,442.5,290.8260000000001,([F: Plus](F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(F: Plus(T: IsRandIndex 75)(T: DiagSecStreak e))(F: Plus(T: RowStreak e)(T: ColumnStreak f)))(T: RowStreak f)))(F: Plus(F: Plus(T: IsRandIndex 74)(F: If >=(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: Plus(T: IsRandIndex 74)(T: ColumnStreak f))(T: WinOrBlock f)))(T: WinOrBlock f)))(F: Plus(T: IsRandIndex 75)(T: WinOrBlock e))),
17,Azakaaaaaa,37.3,Creoaaaaaa,465.3,288.79949999999997,([F: Plus](F: Plus(T: DiagMainStreak f)(F: Plus(T: ColumnStreak e)(T: DiagSecStreak f)))(F: If >=(F: Plus(T: DiagMainStreak f)(T: CountColumn f))(T: RowStreak e)(F: If >=(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: Plus(T: IsRandIndex 74)(T: WinOrBlock f))(T: WinOrBlock f))(T: ColumnStreak f))),
18,Azakaaaaaa,40.7,Creoaaaaaa,464.9,283.6619999999999,([F: Plus](F: Plus(T: DiagMainStreak f)(F: Plus(T: ColumnStreak e)(T: DiagSecStreak f)))(F: If >=(F: Plus(T: DiagMainStreak f)(T: CountColumn f))(T: RowStreak e)(F: If >=(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: Plus(T: IsRandIndex 74)(T: WinOrBlock f))(T: WinOrBlock f))(T: ColumnStreak f))),
19,Creoaaaaaa,42.7,Creoaaaaaa,451.2,291.7885,([F: Plus](F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(T: ColumnStreak e)(T: RowStreak f))(T: DiagSecStreak f)))(F: If >=(F: Plus(T: DiagMainStreak f)(T: CountColumn f))(T: ColumnStreak e)(F: If >=(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: Plus(T: IsRandIndex 74)(T: WinOrBlock f))(T: WinOrBlock f))(T: ColumnStreak f))),
20,Azakaaaaaa,39.3,Azakaaaaaa,478.09999999999997,300.13999999999976,([F: Plus](F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(T: DiagSecStreak e)(T: RowStreak f)))(T: WinOrBlock f))(F: Plus(T: IsRandIndex 75)(T: WinOrBlock e))),
21,Creoaaaaaa,90.3,Azakaaaaaa,486.6,277.06800000000004,([F: Plus](F: Plus(F: Plus(T: ColumnStreak f)(F: Plus(T: DiagSecStreak e)(T: RowStreak f)))(T: RowStreak f))(F: Plus(T: IsRandIndex 75)(T: IsRandIndex 74))),
22,Azakaaaaaa,70.1,Azakaaaaaa,459.0,294.14349999999996,([F: Plus](F: Plus(F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(T: ColumnStreak e)(T: RowStreak f))(F: Plus(T: DiagSecStreak e)(T: DiagMainStreak e))))(F: Plus(T: DiagSecStreak e)(T: RowStreak f)))(F: Plus(F: Plus(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: If >=(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: DiagSecStreak e))(F: Plus(T: IsRandIndex 41)(T: RowStreak e))(T: WinOrBlock f)))(F: If >=(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: Plus(T: IsRandIndex 74)(T: DiagMainStreak e))(T: WinOrBlock f))))(F: Plus(T: IsRandIndex 75)(T: WinOrBlock e))),
23,Azakaaaaaa,69.19999999999999,Azakaaaaaa,482.4,291.1130000000001,([F: Plus](F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(T: ColumnStreak e)(T: RowStreak f))(F: Plus(T: DiagSecStreak e)(T: DiagMainStreak e))))(T: WinOrBlock f))(F: Plus(T: IsRandIndex 75)(T: WinOrBlock e))),
