Genetic Tic Tac Toe Experiment
Experiment Time: 23/06/2016 11:42:41
Expirement Parameters:,
Board Size:,10,
Required Streak:,5,
Population Size:,100,
Max Generations:,50,
Select Maximal Index Method:,First,
Initial Individual Tree Depth:,3,
Maximum Individual Tree Depth:,7,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
,
Function Set:,
If >=,Plus,
Terminal Set:,
CountNeightbors,RowStreak,ColumnStreak,DiagMainStreak,DiagSecStreak,WinOrBlock,
,
Generation,Worst Individual Name,Worst Individual Fitness,Best Individual Name,Best Individual Fitness,Average Fitness,Best Individual Tree,
12,Bremaaaaaaa,0.0,Bremaaaaaa,4.6,3.162000000000001,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(T: RowStreak f))(F: If >=(T: WinOrBlock f)(T: RowStreak f)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
13,Bremaaaaaa,0.0,Bremaaaaaa,4.6,2.9310000000000027,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(T: RowStreak f))(F: If >=(T: WinOrBlock f)(T: RowStreak f)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
14,Bremaaaaaa,0.0,Bremaaaaaa,4.6,3.049000000000001,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(T: RowStreak f))(F: If >=(T: WinOrBlock f)(T: RowStreak f)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
15,Bremaaaaaa,0.0,Bremaaaaaa,4.6,3.0780000000000016,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(T: RowStreak f))(F: If >=(T: WinOrBlock f)(T: RowStreak f)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
16,Bremaaaaaa,0.0,Bremaaaaaa,4.6,2.991999999999999,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(T: RowStreak f))(F: If >=(T: WinOrBlock f)(T: RowStreak f)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
17,Bremaaaaaa,0.0,Bremaaaaaa,4.6,2.8329999999999997,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(T: RowStreak f))(F: If >=(T: WinOrBlock f)(T: RowStreak f)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
18,Bremaaaaaa,0.0,Bremaaaaaa,5.0,2.7620000000000005,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: CountNeightbors e)(T: RowStreak f))))(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: WinOrBlock f)(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
19,Bremaaaaaa,0.0,Bremaaaaaa,4.6,2.8259999999999996,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: CountNeightbors e)(T: RowStreak f))))(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: WinOrBlock f)(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
20,Bremaaaaaa,0.0,Bremaaaaaa,4.6,2.9999999999999987,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: CountNeightbors e)(T: RowStreak f))))(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: WinOrBlock f)(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
21,Bremaaaaaa,0.0,Bremaaaaaa,4.6,3.063,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: CountNeightbors e)(T: RowStreak f))))(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: WinOrBlock f)(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
