Genetic Tic Tac Toe Experiment
Experiment Time: 27/06/2016 11:27:44
Experiment Parameters:,
Board Size:,10,
Required Streak:,5,
Population Size:,100,
Max Generations:,50,
Select Maximal Index Method:,Random,
Initial Individual Tree Depth:,3,
Maximum Individual Tree Depth:,6,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
,
Function Set:,
If >=,Plus,
Terminal Set:,
RowStreak,ColumnStreak,DiagMainStreak,DiagSecStreak,WinOrBlock,
,
Generation,Worst Individual Name,Worst Individual Fitness,Best Individual Name,Best Individual Fitness,Average Fitness,Best Individual Tree,
1,Crocresure,0.0,Creocloark,3.0,0.31200000000000006,([F: If >=](F: If >=(T: ColumnStreak f)(T: DiagSecStreak e)(T: DiagMainStreak e)(T: DiagSecStreak e))(F: Plus(T: DiagSecStreak f)(T: DiagSecStreak e))(F: If >=(T: RowStreak f)(T: RowStreak e)(T: RowStreak f)(T: DiagSecStreak f))(F: Plus(T: DiagSecStreak f)(T: RowStreak f))),
2,Casaakzauru,0.0,Razooirme,2.0,0.31600000000000017,([F: Plus](F: If >=(T: DiagMainStreak f)(T: DiagMainStreak f)(T: RowStreak f)(T: DiagMainStreak f))(F: If >=(T: DiagMainStreak e)(T: RowStreak e)(T: DiagSecStreak e)(T: DiagSecStreak e))),
3,Crycrmarzaur,0.0,Reimecloa,2.3,0.38399999999999956,([F: Plus](T: DiagSecStreak f)(F: Plus(F: Plus(T: RowStreak f)(T: ColumnStreak f))(T: ColumnStreak e))),
4,Bremioirme,0.0,Breslrlmard,2.7,0.5289999999999999,([F: Plus](F: If >=(T: DiagMainStreak f)(T: RowStreak f)(T: ColumnStreak e)(T: WinOrBlock f))(F: If >=(T: ColumnStreak f)(T: DiagMainStreak f)(T: WinOrBlock e)(T: DiagMainStreak e))),
5,Bremirlmard,0.0,Razoaooir,2.3,0.5009999999999996,([F: Plus](F: If >=(F: If >=(T: DiagSecStreak e)(T: ColumnStreak e)(T: WinOrBlock e)(T: DiagMainStreak e))(F: Plus(T: DiagSecStreak e)(T: DiagSecStreak f))(F: If >=(T: ColumnStreak f)(T: DiagMainStreak f)(T: RowStreak e)(T: DiagSecStreak f))(F: Plus(T: RowStreak f)(T: RowStreak f)))(T: ColumnStreak e)),
6,Cryuroaooi,0.0,Mermlekmoi,4.6,0.49399999999999944,([F: Plus](F: Plus(T: ColumnStreak f)(T: DiagMainStreak e))(F: Plus(T: RowStreak f)(T: WinOrBlock f))),
7,Jagsaaalrlm,0.0,Reimalarme,3.0,0.4099999999999993,([F: Plus](F: If >=(T: RowStreak e)(T: DiagMainStreak f)(T: WinOrBlock e)(T: DiagMainStreak f))(F: Plus(F: Plus(T: WinOrBlock e)(F: If >=(T: DiagMainStreak e)(T: WinOrBlock e)(T: RowStreak f)(T: DiagSecStreak f)))(F: If >=(T: ColumnStreak e)(T: DiagMainStreak f)(T: DiagSecStreak f)(F: If >=(F: If >=(T: DiagSecStreak e)(T: ColumnStreak e)(T: WinOrBlock e)(T: DiagMainStreak e))(F: Plus(T: DiagSecStreak e)(T: DiagSecStreak f))(F: If >=(T: ColumnStreak f)(T: ColumnStreak f)(T: RowStreak e)(T: DiagSecStreak f))(F: Plus(T: RowStreak f)(T: RowStreak f)))))),
8,Jagsaarlmar,0.0,Reimaclamed,2.7,0.5259999999999996,([F: Plus](F: If >=(T: RowStreak e)(T: DiagMainStreak f)(T: WinOrBlock e)(T: DiagMainStreak f))(F: Plus(F: Plus(T: WinOrBlock e)(F: If >=(T: DiagMainStreak e)(T: WinOrBlock e)(T: DiagSecStreak f)(T: DiagSecStreak f)))(F: If >=(T: ColumnStreak e)(T: DiagMainStreak f)(T: DiagSecStreak f)(T: WinOrBlock f)))),
9,Razolaarlma,0.0,Reimiilekm,2.6,0.5029999999999991,([F: Plus](T: WinOrBlock f)(F: Plus(F: Plus(F: If >=(T: WinOrBlock f)(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(T: DiagMainStreak f)(T: DiagMainStreak e))(T: ColumnStreak f))(F: If >=(T: DiagSecStreak f)(T: ColumnStreak e)(T: DiagSecStreak e)(T: WinOrBlock f)))),
10,Reimiaclame,0.0,Reimilloam,3.0,0.49099999999999916,([F: Plus](T: WinOrBlock f)(F: Plus(F: Plus(F: If >=(T: WinOrBlock f)(F: Plus(T: DiagMainStreak e)(T: ColumnStreak f))(T: DiagMainStreak f)(T: DiagMainStreak e))(T: ColumnStreak f))(F: If >=(T: DiagSecStreak f)(T: ColumnStreak e)(T: DiagSecStreak e)(T: WinOrBlock f)))),
11,Reimallali,0.0,Reimiilekm,2.7,0.5239999999999991,([F: Plus](T: WinOrBlock f)(F: If >=(F: Plus(T: ColumnStreak e)(T: DiagMainStreak f))(F: If >=(T: DiagMainStreak e)(T: WinOrBlock f)(T: WinOrBlock f)(T: DiagMainStreak e))(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: Plus(T: WinOrBlock e)(T: DiagMainStreak e)))),
12,Reimaaaiil,0.0,Reimailalrl,3.3,0.6799999999999996,([F: Plus](F: If >=(T: RowStreak e)(T: ColumnStreak f)(T: WinOrBlock e)(T: ColumnStreak e))(F: Plus(F: Plus(T: WinOrBlock e)(F: Plus(F: Plus(T: RowStreak f)(T: RowStreak f))(T: RowStreak f)))(F: If >=(T: ColumnStreak e)(T: DiagMainStreak f)(T: DiagSecStreak f)(T: WinOrBlock f)))),
13,Reimaaaall,0.0,Reimaaaiil,3.0,0.6879999999999993,([F: Plus](F: If >=(T: RowStreak e)(T: DiagMainStreak f)(T: WinOrBlock e)(T: DiagMainStreak f))(F: Plus(F: Plus(T: WinOrBlock e)(F: If >=(T: DiagMainStreak e)(T: WinOrBlock e)(T: DiagSecStreak f)(T: DiagSecStreak f)))(F: Plus(T: DiagSecStreak e)(T: ColumnStreak f)))),
14,Reimaaalla,0.0,Reimaaailal,4.0,0.6799999999999994,([F: Plus](T: DiagSecStreak f)(F: Plus(F: Plus(T: WinOrBlock e)(F: Plus(T: RowStreak f)(T: RowStreak f)))(T: WinOrBlock f))),
